record_id,symbol,event_id,fiscal_period,record_type,event_class,status,expected_date,occurred_date,session_timing,source_type,source_url,known_as_of_utc,checked_at_utc,supersedes,promoted_from,notes
G0014,SMCI,SMCI-FY26Q4,FY26Q4,assertion,actual_quarterly_earnings,estimated,2026-08-04,,amc,aggregator,https://www.marketbeat.com/stocks/NASDAQ/SMCI/earnings/,2026-07-12T14:01:17+00:00,2026-07-12T14:17:08.263406+00:00,,A0268,owner-approved 2026-07-12 worksheet row 6; scheduled quarterly report (aggregator estimate) classified actual_quarterly_earnings
G0015,AVGO,AVGO-FY26Q3,FY26Q3,assertion,actual_quarterly_earnings,estimated,2026-09-03,,unknown,aggregator,https://www.investing.com/equities/avago-technologies-earnings,2026-07-12T14:01:17+00:00,2026-07-12T14:17:57.870142+00:00,,A0269,owner-approved 2026-07-12 worksheet row 7; scheduled quarterly report (aggregator estimate) classified actual_quarterly_earnings
G0016,TEM,TEM-2026Q2,2026Q2,assertion,actual_quarterly_earnings,confirmed,2026-07-30,,amc,company_pr,https://investors.tempus.com/news-releases/news-release-details/tempus-report-second-quarter-2026-financial-results-july-30,2026-07-09T23:59:59+00:00,2026-07-12T14:47:07.863058+00:00,G0011,A0270,owner-directed 2026-07-12 correction: supersedes G0011 (inferred-ET wire timestamp) with the direct Tempus IR release under an end-of-day-UTC conservative-late causal bound; A0265/G0011 retained as historical evidence
G0017,USAR,USAR-2026Q2,2026Q2,assertion,actual_quarterly_earnings,estimated,2026-08-10,,amc,aggregator,https://www.marketbeat.com/stocks/NASDAQ/USAR/earnings/,2026-07-15T14:00:00+00:00,2026-07-15T15:06:45.091229+00:00,,A0271,
G0018,USAR,USAR-2026Q2,2026Q2,assertion,actual_quarterly_earnings,estimated,2026-08-10,,amc,aggregator,https://www.marketbeat.com/stocks/NASDAQ/USAR/earnings/,2026-07-15T15:54:00+00:00,2026-07-15T15:54:21.748029+00:00,G0017,A0272,"owner-ratified 2026-07-15 via chat directive: supersedes G0017, whose owner-approval note was empty. The A0271->G0017 promotion was executed in a Claude session (commit 9a8b92a) without a recorded owner approval; the 2026-07-15 change review flagged the gap and the owner directed this superseding provenance row. Underlying assertion (MarketBeat estimate, 2026-08-10 amc, disclosed 08-17 divergence) unchanged; G0017/A0271 retained as historical evidence."
G0019,CRWV,CRWV-2026Q2,2026Q2,assertion,actual_quarterly_earnings,estimated,2026-08-18,,amc,aggregator,https://www.tipranks.com/stocks/crwv/earnings,2026-07-15T18:57:35+00:00,2026-07-15T18:59:20.830146+00:00,,A0273,owner-approved 2026-07-15 chat directive; CoreWeave Q2 2026 (period end 2026-06-30) aggregator-consensus estimate 2026-08-18 AMC; lifts CRWV entry ban.
G0020,IREN,IREN-FY26Q4,FY26Q4,assertion,actual_quarterly_earnings,estimated,2026-08-27,,amc,aggregator,https://www.marketbeat.com/stocks/NASDAQ/IREN/earnings/,2026-07-15T18:57:35+00:00,2026-07-15T18:59:23.959608+00:00,,A0274,"owner-approved 2026-07-15 chat directive; IREN fiscal Q4 FY2026 (period end 2026-06-30) aggregator estimate 2026-08-27 AMC, Sep-16 divergence disclosed; lifts IREN entry ban."
G0021,PLTR,PLTR-2026Q2,2026Q2,assertion,actual_quarterly_earnings,confirmed,2026-08-03,,amc,company_pr,https://www.businesswire.com/news/home/20260713475194/en/Palantir-Announces-Date-of-Second-Quarter-2026-Earnings-Release-and-Webcast,2026-07-13T20:05:00+00:00,2026-07-16T03:12:01.475389+00:00,G0012,A0275,"Company-confirmed schedule replaces the 2026-07-12 aggregator estimate G0012 (same event PLTR-2026Q2, same date/timing, provenance upgraded aggregator->company_pr; PR verified this session)"
G0022,AMZN,AMZN-2026Q2,2026Q2,assertion,actual_quarterly_earnings,confirmed,2026-07-30,,amc,company_pr,https://www.aboutamazon.com/news/company-news/amazon-earnings-q2-2026-report,2026-07-17T00:00:00+00:00,2026-07-18T03:57:08.275572+00:00,G0006,A0276,
G0023,ET,ET-2026Q2,2026Q2,assertion,actual_quarterly_earnings,confirmed,2026-08-04,,bmo,company_pr,https://ir.energytransfer.com/news-releases/news-release-details/energy-transfer-announces-second-quarter-2026-earnings-release,2026-06-30T23:59:59+00:00,2026-07-19T02:07:42.793444+00:00,,A0277,
G0024,SMCI,SMCI-FY26Q4,FY26Q4,assertion,actual_quarterly_earnings,confirmed,2026-08-11,,amc,company_pr,https://ir.supermicro.com/news/news-details/2026/Supermicro-Provides-Fourth-Quarter-of-Fiscal-Year-2026-Preliminary-Business-Update/default.aspx,2026-07-21T23:59:59+00:00,2026-07-28T02:11:32.542220+00:00,G0014,A0278,Owner-authorized 2026-07-27 primary-source correction: Supermicro official IR moves the FY26Q4 earnings call from the earlier 2026-08-04 aggregator estimate to confirmed 2026-08-11 AMC; A0268/G0014 remain immutable historical evidence.
G0025,NVDA,NVDA-FY27Q2,FY27Q2,assertion,actual_quarterly_earnings,confirmed,2026-08-26,,amc,company_ir,https://investor.nvidia.com/events-and-presentations/events-and-presentations/event-details/2026/NVIDIA-2nd-Quarter-FY27-Financial-Results/default.aspx,2026-07-28T02:10:42+00:00,2026-07-28T02:11:32.894042+00:00,G0013,A0279,Owner-authorized 2026-07-27 primary-source upgrade: NVIDIA official IR confirms FY27Q2 on 2026-08-26 AMC; known_as_of is the 2026-07-28 retrieval time because the event page exposes no publication timestamp; A0267/G0013 remain immutable historical evidence.
G0026,AMD,AMD-2026Q1,2026Q1,assertion,actual_quarterly_earnings,confirmed,2026-05-05,,amc,company_pr,https://ir.amd.com/news-events/press-releases/detail/1282/amd-to-report-fiscal-first-quarter-2026-financial-results,2026-04-08T20:15:00+00:00,2026-08-11T04:54:19.016697+00:00,,A0280,Promoted from A0280; reports/h7_forward_schwab/2026-08-11-primary-earnings-evidence.md; local capture SHA-256 4bb4a56f6688f61cacd663e3e0f8ab3ffa5b8336a5e05486149c187a63ba0b4b; issuer page carries an exact publication timestamp.
G0027,AMZN,AMZN-2026Q1,2026Q1,assertion,actual_quarterly_earnings,confirmed,2026-04-29,,amc,company_pr,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-to-Webcast-First-Quarter-2026-Financial-Results-Conference-Call-57c6bd583/default.aspx,2026-04-16T13:30:00+00:00,2026-08-11T04:54:31.895301+00:00,,A0281,Promoted from A0281; reports/h7_forward_schwab/2026-08-11-primary-earnings-evidence.md; local capture SHA-256 3c452712d0114786dd6f7ea67fe1d2434a35dd9306856e1fb20fb844f73aee9e; date-only issuer announcement is conservatively known at the next XNYS session open.
G0028,AVGO,AVGO-FY26Q2,FY26Q2,assertion,actual_quarterly_earnings,confirmed,2026-06-03,,amc,company_pr,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announce-second-quarter-fiscal-year-2026-financial,2026-05-05T13:30:00+00:00,2026-08-11T04:55:46.864470+00:00,,A0282,Promoted from A0282; reports/h7_forward_schwab/2026-08-11-primary-earnings-evidence.md; local capture SHA-256 2a268d07a26e6bbc24bdb7b8ce2e5f4f0ace9b8d5528907a43a0c404acd5b4a2; date-only issuer announcement is conservatively known at the next XNYS session open.
G0029,CEG,CEG-2026Q1,2026Q1,assertion,actual_quarterly_earnings,confirmed,2026-05-11,,bmo,company_ir,https://investors.constellationenergy.com/static-files/3cb022eb-3ef7-47e5-ad00-c5e7b3ddcc51,2026-04-10T13:30:00+00:00,2026-08-11T04:55:48.668657+00:00,,A0283,Promoted from A0283; reports/h7_forward_schwab/2026-08-11-primary-earnings-evidence.md; local capture SHA-256 b2ea3e65c13fd1da97f9c7dd9e94042058ba4b538173b09a73e11d5c1b87da90; date-only issuer announcement is conservatively known at the next XNYS session open.
G0030,CRWV,CRWV-2026Q1,2026Q1,assertion,actual_quarterly_earnings,confirmed,2026-05-07,,amc,company_pr,https://investors.coreweave.com/news/news-details/2026/CoreWeave-Announces-Date-of-First-Quarter-2026-Financial-Results-and-Conference-Call/default.aspx,2026-04-20T13:30:00+00:00,2026-08-11T04:55:51.635553+00:00,,A0284,Promoted from A0284; reports/h7_forward_schwab/2026-08-11-primary-earnings-evidence.md; local capture SHA-256 0219b11c4b4d748c60ea5a89df2ca70ea4450d2cd04a648ffeef2b4123fc41c8; date-only issuer announcement is conservatively known at the next XNYS session open.
G0031,ET,ET-2026Q1,2026Q1,assertion,actual_quarterly_earnings,confirmed,2026-05-05,,bmo,company_pr,https://ir.energytransfer.com/news-releases/news-release-details/energy-transfer-announces-first-quarter-2026-earnings-release,2026-04-07T15:30:00+00:00,2026-08-11T04:56:12.930121+00:00,,A0285,Promoted from A0285; reports/h7_forward_schwab/2026-08-11-primary-earnings-evidence.md; local capture SHA-256 4ae4c542175ac7239bace4030abbf7cbcb5ffa4e30b32aa179818f954a5986dd; issuer page carries an exact publication timestamp.
G0032,IREN,IREN-FY26Q3,FY26Q3,assertion,actual_quarterly_earnings,confirmed,2026-05-07,,amc,company_ir,https://iren.gcs-web.com/static-files/0db9660d-af2d-433b-b0bc-65117f17c1d0,2026-04-24T13:30:00+00:00,2026-08-11T04:56:14.553076+00:00,,A0286,Promoted from A0286; reports/h7_forward_schwab/2026-08-11-primary-earnings-evidence.md; local capture SHA-256 1a071e7a52ae8358a57163457f59e7ba47d66f508d8fe00bf76e8b9aeb587f46; date-only issuer announcement is conservatively known at the next XNYS session open.
G0033,MSFT,MSFT-FY26Q3,FY26Q3,assertion,actual_quarterly_earnings,confirmed,2026-04-29,,amc,company_pr,https://news.microsoft.com/source/2026/04/08/microsoft-announces-quarterly-earnings-release-date-67/,2026-04-09T13:30:00+00:00,2026-08-11T04:56:16.539537+00:00,,A0287,Promoted from A0287; reports/h7_forward_schwab/2026-08-11-primary-earnings-evidence.md; local capture SHA-256 8040945a5d156a1081d82b9f503da133e765edca7d1f82b0f6038d4e4c2df317; date-only issuer announcement is conservatively known at the next XNYS session open.
G0034,NOW,NOW-2026Q1,2026Q1,assertion,actual_quarterly_earnings,confirmed,2026-04-22,,amc,company_pr,https://investor.servicenow.com/news/news-details/2026/ServiceNow-to-Announce-First-Quarter-2026-Financial-Results-on-April-22/default.aspx,2026-04-02T13:30:00+00:00,2026-08-11T04:57:07.976904+00:00,,A0288,Promoted from A0288; reports/h7_forward_schwab/2026-08-11-primary-earnings-evidence.md; local capture SHA-256 7fa3235dd02aff92b0b8f321fe5aff6a0a5b49430a6e8e0a1a126ad0f5d90157; date-only issuer announcement is conservatively known at the next XNYS session open.
G0035,NVDA,NVDA-FY27Q1,FY27Q1,assertion,actual_quarterly_earnings,confirmed,2026-05-20,,amc,company_pr,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Sets-Conference-Call-for-First-Quarter-Financial-Results/default.aspx,2026-04-30T13:30:00+00:00,2026-08-11T04:57:10.618312+00:00,,A0289,Promoted from A0289; reports/h7_forward_schwab/2026-08-11-primary-earnings-evidence.md; local capture SHA-256 300488a598622798b6b202b76abc358403ade2a3fd077d7dd10093a312b8bbbf; date-only issuer announcement is conservatively known at the next XNYS session open.
G0036,PLTR,PLTR-2026Q1,2026Q1,assertion,actual_quarterly_earnings,confirmed,2026-05-04,,amc,company_pr,https://investors.palantir.com/news-details/2026/Palantir-Announces-Date-of-First-Quarter-2026-Earnings-Release-and-Webcast/,2026-04-14T13:30:00+00:00,2026-08-11T04:57:12.277646+00:00,,A0290,Promoted from A0290; reports/h7_forward_schwab/2026-08-11-primary-earnings-evidence.md; local capture SHA-256 546c60aeffc6e66fd1f5a9bec6bed4cf8f3fe65bc0f674b9e83397ed3b65f150; date-only issuer announcement is conservatively known at the next XNYS session open.
G0037,SMCI,SMCI-FY26Q3,FY26Q3,assertion,actual_quarterly_earnings,confirmed,2026-05-05,,amc,company_pr,https://ir.supermicro.com/news/news-details/2026/Supermicro-to-Report-Third-Quarter-Fiscal-2026-Financial-Results-on-May-5th-2026/default.aspx,2026-04-22T13:30:00+00:00,2026-08-11T04:57:35.400572+00:00,,A0291,Promoted from A0291; reports/h7_forward_schwab/2026-08-11-primary-earnings-evidence.md; local capture SHA-256 2ae2fdea81cc0b5d1d180c57afe3163f1c0a0ee5cf220ded503eec97638341b1; date-only issuer announcement is conservatively known at the next XNYS session open.
G0038,TEM,TEM-2026Q1,2026Q1,assertion,actual_quarterly_earnings,confirmed,2026-05-05,,amc,company_pr,https://investors.tempus.com/news-releases/news-release-details/tempus-report-first-quarter-2026-financial-results-may-5,2026-04-22T13:30:00+00:00,2026-08-11T04:57:37.337000+00:00,,A0292,Promoted from A0292; reports/h7_forward_schwab/2026-08-11-primary-earnings-evidence.md; local capture SHA-256 c9a06fac6fd26310027ecb3f229cf09b8f54af4546d28584b5ee45a2b8c8f0e9; date-only issuer announcement is conservatively known at the next XNYS session open.
G0039,USAR,USAR-2026Q1,2026Q1,assertion,actual_quarterly_earnings,confirmed,2026-05-13,,amc,company_pr,https://investors.usare.com/news-releases/news-release-details/usa-rare-earth-announces-date-release-first-quarter-2026-results,2026-05-08T13:30:00+00:00,2026-08-11T04:57:38.976553+00:00,,A0293,Promoted from A0293; reports/h7_forward_schwab/2026-08-11-primary-earnings-evidence.md; local capture SHA-256 70decae4cd1bcea4a8f676700e0ff41de631964f57aaae4303ec85c58b1ab23b; date-only issuer announcement is conservatively known at the next XNYS session open.
G0040,VST,VST-2026Q1,2026Q1,assertion,actual_quarterly_earnings,confirmed,2026-05-07,,bmo,company_pr,"https://investor.vistracorp.com/2026-04-01-Vistra-to-Report-First-Quarter-Results-on-May-7,-2026",2026-04-02T13:30:00+00:00,2026-08-11T04:57:40.543956+00:00,,A0294,Promoted from A0294; reports/h7_forward_schwab/2026-08-11-primary-earnings-evidence.md; local capture SHA-256 75a7eb33358ca69425a1010090824225e37717ec55a0668451c0468774b87111; date-only issuer announcement is conservatively known at the next XNYS session open.
